Account,Campaign,Campaign Type,Campaign Status,Budget,Networks,Languages,Location,Bid Strategy Type,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
SourceNET Tecnologia,SVD - Promocao 10 Anos,Search,Paused,50,Google search,pt,Brazil,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,gratis,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,gratuito,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,emprego,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,vaga,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,vagas,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,curso,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,como funciona,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,o que é,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,piramide,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,golpe,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,reclame aqui,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,download,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,crack,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,planilha,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,excel,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,hinode,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,mary kay,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SourceNET Tecnologia,SVD - Promocao 10 Anos,,,,,,,,,,,natura,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
